"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-67.918283684000002","3.8703255477399998","Guainia","Inirida",1
2009,"-69.7985426682","4.4444876220899996","Vichada","Cumaribo",1
2009,"-70.203567560300002","6.3033936986399999","Arauca","Cravo norte",2
2009,"-70.234960261799998","1.2511707885400001","Vaupes","Mitu",1
2009,"-70.762773048","7.0777365019699996","Arauca","Arauca",5
2009,"-71.662678650900006","5.4110162237599999","Casanare","Trinidad",1
2009,"-71.731229887400005","5.4218395761","Casanare","San luis de palenque",1
2009,"-71.743653263499993","6.4565381147399998","Arauca","Tame",2
2009,"-71.873949477799997","6.95387794066","Arauca","Saravena",2
2009,"-71.891728679099998","5.8814026236299997","Casanare","Paz de ariporo",1
2009,"-72.164224906499996","5.8290966485900002","Casanare","Tamara",1
2009,"-72.195382649500004","5.6371293741299997","Casanare","Nunchia",1
2009,"-72.243036152100004","11.3774000042","La guajira","Maicao",1
2009,"-72.393790533200004","5.3324911756300004","Casanare","Yopal",5
2009,"-72.445412764799997","6.4103780277900002","Boyaca","El cocuy",3
2009,"-72.470519245800006","7.84904659595","Norte de santander","Villa del rosario",1
2009,"-72.473558054099996","6.1874240806299996","Boyaca","Chita",1
2009,"-72.500600212999998","6.4597119739500002","Boyaca","Guacamayas",1
2009,"-72.505590965899998","7.9052671165500001","Norte de santander","Cucuta",59
2009,"-72.552585337799997","5.1699854306399997","Casanare","Aguazul",2
2009,"-72.554942865900003","6.4018342135299999","Boyaca","San mateo",1
2009,"-72.559437864900005","6.3167948403600001","Boyaca","La uvita",1
2009,"-72.577594124499996","5.5623583420799996","Boyaca","Labranzagrande",1
2009,"-72.593288877999996","6.5067679848899997","Santander","Macaravita",1
2009,"-72.602450290600004","7.6025629692000001","Norte de santander","Chinacota",2
2009,"-72.648211059000005","7.3751941484500003","Norte de santander","Pamplona",9
2009,"-72.664809710499995","7.13853760731","Norte de santander","Chitaga",1
2009,"-72.683317404600004","6.3336541858500004","Boyaca","Soata",6
2009,"-72.691626543300004","5.9968587497600003","Boyaca","Socha",1
2009,"-72.702566329800007","5.2938006717799997","Boyaca","Pajarito",1
2009,"-72.712069853599999","6.0932344040000004","Boyaca","Sativasur",1
2009,"-72.732133305999994","6.7021775212000003","Santander","Malaga",10
2009,"-72.735919371700007","8.6397177005099994","Norte de santander","Tibu",1
2009,"-72.747525229100006","5.9880709061299999","Boyaca","Paz de rio",4
2009,"-72.747736112300004","5.0131227893799997","Casanare","Tauramena",1
2009,"-72.798834000799999","7.6426906647599999","Norte de santander","Arboledas",1
2009,"-72.800205130899997","5.7528304274200002","Boyaca","Mongua",3
