"dpto","coddepto","mpio","codmpio","codigo","LAT_CIU_NAC","LON_CIU_NAC","n"
"SANTANDER","68","CIMITARRA","190","68-190","6.3136908943099996","-73.954893941899996","2"
"SANTANDER","68","VILLANUEVA","872","68-872","10.444452630800001","-75.276221979200002","3"
"ANTIOQUIA","05","ABRIAQUI","004","05-004","6.6339560277","-76.063158265300004","8"
"SANTANDER","68","CARCASI","152","68-152","6.6267342970099996","-72.626411528999995","1"
"ANTIOQUIA","05","PUERTO BERRIO","579","05-579","6.4900665390999999","-74.404636308700006","30"
"SANTANDER","68","JORDAN","370","68-370",NA,NA,"0"
"BOYACA","15","GUICAN","332","15-332","6.4629295874199997","-72.412060131900006","15"
"ANTIOQUIA","05","GIRALDO","306","05-306","6.6783012295899997","-75.949772275900003","7"
"SANTANDER","68","BARICHARA","079","68-079","6.6353492628600002","-73.222681975499995","9"
"SANTANDER","68","ENCISO","266","68-266","6.6697234766899998","-72.700138575599993","1"
"SANTANDER","68","MOLAGAVITA","468","68-468","6.6738455098399996","-72.809031675900002","1"
"ARAUCA","81","CRAVO NORTE","220","81-220","6.3033936986399999","-70.203567560300002","11"
"ARAUCA","81","TAME","794","81-794","6.4565381147399998","-71.743653263499993","64"
"SANTANDER","68","SAN JOSE DE MIRANDA","684","68-684","6.6586642203100004","-72.7333821183","3"
"ANTIOQUIA","05","ENTRERRIOS","264","05-264","6.5666500492599997","-75.517154846599993","21"
"SANTANDER","68","CURITI","229","68-229","6.6045979937799997","-73.068958803499996","2"
"ARAUCA","81","PUERTO RONDON","591","81-591","6.2798633856499997","-71.103069429599998","7"
"ANTIOQUIA","05","OLAYA","501","05-501",NA,NA,"0"
"ANTIOQUIA","05","SANTA FE DE ANTIOQUIA","042","05-042","6.5582689861999999","-75.827232381800002","15"
"SANTANDER","68","CABRERA","121","68-121",NA,NA,"0"
"SANTANDER","68","SAN GIL","679","68-679","6.5492726247800004","-73.128570220100002","83"
"ANTIOQUIA","05","MACEO","425","05-425","6.5531160854100001","-74.787847714999998","6"
"SANTANDER","68","MOGOTES","464","68-464","6.4753872690199996","-72.970462290100002","5"
"SANTANDER","68","HATO","344","68-344",NA,NA,"0"
"ANTIOQUIA","05","SOPETRAN","761","05-761","6.50313220449","-75.745937366000007","48"
"SANTANDER","68","SAN MIGUEL","686","68-686","6.5766434498399997","-72.646501115999996","2"
"ANTIOQUIA","05","URRAO","847","05-847","6.3140011761699997","-76.132240465999999","24"
"SANTANDER","68","CAPITANEJO","147","68-147","6.5305693198199997","-72.695635162100004","7"
"ANTIOQUIA","05","CISNEROS","190","05-190","6.5388751989599996","-75.0862390602","25"
"SANTANDER","68","MACARAVITA","425","68-425","6.5067679848899997","-72.593288877999996","3"
"BOYACA","15","COVARACHIA","218","15-218",NA,NA,"0"
"ANTIOQUIA","05","DONMATIAS","237","05-237","6.4858853462599999","-75.394095164500001","23"
"ANTIOQUIA","05","SANTO DOMINGO","690","05-690","6.4747846177300001","-75.167748819899998","10"
"SANTANDER","68","PINCHOTE","549","68-549",NA,NA,"0"
"SANTANDER","68","PALMAR","522","68-522",NA,NA,"0"
"SANTANDER","68","SAN JOAQUIN","682","68-682","6.4275490366400003","-72.867703252599995","2"
"SANTANDER","68","ONZAGA","502","68-502","6.3446118976500001","-72.813931047200001","1"
"ANTIOQUIA","05","SAN ROQUE","670","05-670","6.4848118494499998","-75.0222636421","9"
"SANTANDER","68","VELEZ","861","68-861","6.0075805599200001","-73.674520419399997","43"
"SANTANDER","68","LANDAZURI","385","68-385","6.2193870002800002","-73.809098797100006","3"
"SANTANDER","68","SOCORRO","755","68-755","6.4636909745200004","-73.261130959200003","38"
"ANTIOQUIA","05","CAICEDO","125","05-125","6.4057875896600001","-75.984153352000007","2"
"ANTIOQUIA","05","BARBOSA","079","05-079","5.93031783104","-73.617560271100004","53"
"BOYACA","15","EL ESPINO","248","15-248","6.4826131396999997","-72.496322112800001","1"
"ANTIOQUIA","05","SAN PEDRO","664","05-664","6.3948361122900002","-75.645653385200006","14"
"ANTIOQUIA","05","SAN JERONIMO","656","05-656","6.4430637921500002","-75.727817825599999","4"
"SANTANDER","68","SANTA HELENA DEL OPON","720","68-720",NA,NA,"0"
"SANTANDER","68","PARAMO","533","68-533",NA,NA,"0"
"BOYACA","15","GUACAMAYAS","317","15-317","6.4597119739500002","-72.500600212999998","1"
"SANTANDER","68","VALLE DE SAN JOSE","855","68-855",NA,NA,"0"
"BOYACA","15","SAN MATEO","673","15-673","6.4018342135299999","-72.554942865900003","9"
"SANTANDER","68","CHIMA","176","68-176",NA,NA,"0"
"BOYACA","15","PANQUEBA","522","15-522","6.4425689134699997","-72.458939196200006","5"
"BOYACA","15","TIPACOQUE","810","15-810","6.4150258302500003","-72.690192330100004","2"
"ANTIOQUIA","05","CARACOLI","142","05-142","6.4025092280200004","-74.759202503200001","12"
"ANTIOQUIA","05","CONCEPCION","206","05-206","6.3939760788899997","-75.256527061","4"
"ANTIOQUIA","05","GIRARDOTA","308","05-308","6.37934992894","-75.443698985300003","44"
"BOYACA","15","BOAVITA","097","15-097","6.33067803458","-72.584775224300003","12"
"ANTIOQUIA","05","COPACABANA","212","05-212","6.3582275309099998","-75.502422676099997","42"
"ANTIOQUIA","05","BELLO","088","05-088","6.3337855624700001","-75.554447576100003","434"
"ANTIOQUIA","05","EBEJICO","240","05-240","6.29399776169","-75.784519497900007","13"
"SANTANDER","68","PALMAS DEL SOCORRO","524","68-524",NA,NA,"0"
"ANTIOQUIA","05","ANZA","044","05-044","6.3022304684300003","-75.853713331999998","4"
"ANTIOQUIA","05","ALEJANDRIA","021","05-021","6.3744738015299998","-75.143097412399996","9"
"BOYACA","15","EL COCUY","244","15-244","6.4103780277900002","-72.445412764799997","14"
"ANTIOQUIA","05","SAN RAFAEL","667","05-667","6.2939497363800001","-75.028249520599999","16"
"SANTANDER","68","CONFINES","209","68-209",NA,NA,"0"
"SANTANDER","68","OCAMONTE","498","68-498",NA,NA,"0"
"ANTIOQUIA","05","MEDELLIN","001","05-001","6.2489408095599996","-75.577055625599996","7214"
"ANTIOQUIA","05","SAN VICENTE FERRER","674","05-674","6.2794048714799997","-75.334796043200001","16"
"SANTANDER","68","COROMORO","217","68-217",NA,NA,"0"
"SANTANDER","68","CONTRATACION","211","68-211","6.29046114389","-73.474389992300004","5"
"SANTANDER","68","LA PAZ","397","68-397","10.3864677933","-73.172691305200004","4"
"SANTANDER","68","CHARALA","167","68-167","6.2853351216600002","-73.1466694378","11"
"BOYACA","15","SOATA","753","15-753","6.3336541858500004","-72.683317404600004","41"
"SANTANDER","68","GUAPOTA","322","68-322","63083874905","-733209067076","1"
"ANTIOQUIA","05","PEÑOL","541","05-541","6.2216831825999996","-75.212372254399995","25"
"CHOCO","27","QUIBDO","001","27-001","5.6923494650500004","-76.651124632600002","202"
"BOYACA","15","LA UVITA","403","15-403","6.3167948403600001","-72.559437864900005","6"
"SANTANDER","68","OIBA","500","68-500","6.2670478520600001","-73.300034000400004","2"
"ANTIOQUIA","05","SAN CARLOS","649","05-649","6.1283182189099996","-74.835421823800004","28"
"ANTIOQUIA","05","GUARNE","318","05-318","6.2692840353564003","-75.435302747729196","38"
"SANTANDER","68","EL GUACAMAYO","245","68-245",NA,NA,"0"
"VICHADA","99","PUERTO CARREÑO","001","99-001","6.1856065672099998","-67.485596099999995","10"
"SANTANDER","68","GUADALUPE","320","68-320","2.0229734854800001","-75.759038641800004","2"
"ANTIOQUIA","05","GUATAPE","321","05-321","6.2323373713699999","-75.155626971499998","17"
"ANTIOQUIA","05","BETULIA","093","05-093","6.1090998070799998","-75.984190747900001","7"
"ANTIOQUIA","05","HELICONIA","347","05-347","6.2060328836599998","-75.734785990099994","5"
"BOYACA","15","CHITA","183","15-183","6.1874240806299996","-72.473558054099996","9"
"BOYACA","15","SUSACON","774","15-774","6.2307747365999999","-72.689788030299994","4"
"SANTANDER","68","BOLIVAR","101","68-101","1.8375627029299999","-76.966757199200003","7"
"ANTIOQUIA","05","PUERTO NARE","585","05-585","6.1820469008199996","-74.585132157800004","9"
"BOYACA","15","PUERTO BOYACA","572","15-572","5.9733137945600001","-74.575054138699997","20"
"CASANARE","85","HATO COROZAL","125","85-125","6.1563918116699998","-71.7646275436","2"
"ANTIOQUIA","05","MARINILLA","440","05-440","6.1735481398000003","-75.338078435699998","43"
"ANTIOQUIA","05","ARMENIA","059","05-059","4.5380533161900001","-75.676245409399996","48"
"ANTIOQUIA","05","RIONEGRO","615","05-615","6.1462200604100001","-75.376255755100004","263"
"CASANARE","85","LA SALINA","136","85-136",NA,NA,"0"
"ANTIOQUIA","05","GRANADA","313","05-313","3.5349351906000002","-73.698477557000004","26"
"ANTIOQUIA","05","RETIRO","607","05-607","6.06324258169","-75.502010579399993","11"
"SANTANDER","68","AGUADA","013","68-013",NA,NA,"0"
"ANTIOQUIA","05","ITAGUI","360","05-360","6.1681583032200002","-75.629721946000004","21"
"ANTIOQUIA","05","ITAGUI","360","05-360","6.1681583032200002","-75.629721946000004","504"
"ANTIOQUIA","05","ENVIGADO","266","05-266","6.1666617975499998","-75.583190734400006","205"
"VICHADA","99","LA PRIMAVERA","524","99-524",NA,NA,"0"
"ANTIOQUIA","05","ANGELOPOLIS","036","05-036","6.1118803376099997","-75.708330775999997","8"
"SANTANDER","68","ENCINO","264","68-264",NA,NA,"0"
"ANTIOQUIA","05","LA ESTRELLA","380","05-380","6.1583909404200003","-75.645187067199998","18"
"SANTANDER","68","SUAITA","770","68-770","6.0983531427299997","-73.440316223600007","10"
"BOYACA","15","JERICO","368","15-368","5.7924555763400001","-75.784627705000005","2"
"SANTANDER","68","EL PEÑON","250","68-250","5.2490834127500001","-74.290162590400001","5"
"ANTIOQUIA","05","CONCORDIA","209","05-209","10.257658450899999","-74.833449314700005","13"
"ANTIOQUIA","05","SABANETA","631","05-631","6.1508923166300002","-75.615350875100006","19"
"ANTIOQUIA","05","EL SANTUARIO","697","05-697","6.1359602770099997","-75.261393605400002","26"
"BOYACA","15","SATIVANORTE","720","15-720","6.1315209519399998","-72.707871776499999","4"
"SANTANDER","68","SAN BENITO","673","68-673","6.1266069813000001","-73.509474162999993","1"
"BOYACA","15","TUTAZA","839","15-839",NA,NA,"0"
"ANTIOQUIA","05","TITIRIBI","809","05-809","6.0629458649699997","-75.794708120300001","9"
"ANTIOQUIA","05","EL CARMEN DE VIBORAL","148","05-148","6.0849715736799999","-75.335269011999998","51"
"ANTIOQUIA","05","SAN LUIS","660","05-660","4.1338811489099996","-75.095870391099993","2"
"BOYACA","15","SOCOTA","755","15-755","6.0411753959399999","-72.636460372200006","3"
"ANTIOQUIA","05","CALDAS","129","05-129","5.55446875145","-73.865310346399994","326"
"SANTANDER","68","CHIPATA","179","68-179","6.0625898318500004","-73.637284063500005","2"
"ANTIOQUIA","05","SALGAR","642","05-642","5.9611624171899997","-75.975435961800002","14"
"CASANARE","85","SACAMA","315","85-315","6.0978991148799997","-72.248893573800004","3"
"SANTANDER","68","SUCRE","773","68-773","5.9190325784300004","-73.791490451599998","12"
"ANTIOQUIA","05","COCORNA","197","05-197","6.0578887964200003","-75.185612609700001","16"
"CASANARE","85","PAZ DE ARIPORO","250","85-250","5.8814026236299997","-71.891728679099998","24"
"BOYACA","15","SANTANA","686","15-686","5.7784524164200004","-72.931630164400005","2"
"ANTIOQUIA","05","AMAGA","030","05-030","6.0326518277960997","-75.707663808080795","32"
"BOYACA","15","SATIVASUR","723","15-723","6.0932344040000004","-72.712069853599999","5"
"SANTANDER","68","GUEPSA","327","68-327","6.0263864286100004","-73.571314498099994","1"
"SANTANDER","68","GUEPSA","327","68-327","6.0263864286100004","-73.571314498099994","6"
"BOYACA","15","PAZ DE RIO","537","15-537","5.9880709061299999","-72.747525229100006","23"
"ANTIOQUIA","05","LA CEJA","376","05-376","5.9931457943559998","-75.430921079741793","114"
"CHOCO","27","ALTO BAUDO","025","27-025","5.5154800390899998","-76.975714730999997","4"
"BOYACA","15","SOCHA","757","15-757","5.9968587497600003","-72.691626543300004","9"
"ANTIOQUIA","05","LA UNION","400","05-400","1.5924771767300001","-77.128385668000007","16"
"BOYACA","15","BELEN","087","15-087","1.5956443044699999","-77.016287833999996","17"
"BOYACA","15","CHITARAQUE","185","15-185","6.0274754890500004","-73.446929363400002","4"
"BOYACA","15","SAN JOSE DE PARE","664","15-664","6.0196104893899998","-73.543449091799999","2"
"ANTIOQUIA","05","PUERTO TRIUNFO","591","05-591","5.8882084027700001","-74.634023566400003","5"
"CASANARE","85","TAMARA","400","85-400","5.8290966485900002","-72.164224906499996","7"
"SANTANDER","68","GAMBITA","298","68-298","5.9458304129200004","-73.342627294799996","2"
"ANTIOQUIA","05","VENECIA","861","05-861","4.0891663934100002","-74.477719533699997","11"
"CHOCO","27","NUQUI","495","27-495","5.7057391212699997","-77.2702238384","4"
"SANTANDER","68","BARBOSA","077","68-077","5.93031783104","-73.617560271100004","32"
"SANTANDER","68","LA BELLEZA","377","68-377","5.8592806693300004","-73.964951944600003","10"
"ANTIOQUIA","05","SANTA BARBARA","679","05-679","5.8806391226999999","-75.5723194638","7"
"SANTANDER","68","GUAVATA","324","68-324",NA,NA,"0"
"CHOCO","27","EL CARMEN DE ATRATO","245","27-245","5.9006656733599998","-76.141966572399994","18"
"BOYACA","15","CERINZA","162","15-162","5.9559767519999998","-72.947720503599996","5"
"BOYACA","15","PAIPA","516","15-516","5.7804891005799997","-73.116743782200004","115"
"BOYACA","15","DUITAMA","238","15-238","5.8193691409900001","-73.030268632900004","544"
"ANTIOQUIA","05","MONTEBELLO","467","05-467","5.9465636591699997","-75.523753933699993","3"
"ANTIOQUIA","05","FREDONIA","282","05-282","5.9248400420099996","-75.671166143999997","16"
"BOYACA","15","SANTA ROSA DE VITERBO","693","15-693","5.87473860404","-72.982386359499998","40"
"ANTIOQUIA","05","SAN FRANCISCO","652","05-652","1.1767402648900001","-76.875892027999996","7"
"BOYACA","15","BETEITIVA","092","15-092","5.9108105344800004","-72.808960010500002","1"
"BOYACA","15","TOGUI","816","15-816","5.9375457696899998","-73.513571916199993","4"
"BOYACA","15","MONIQUIRA","469","15-469","5.8737648678900003","-73.574108032699996","40"
"ANTIOQUIA","05","TARSO","792","05-792","5.8654485824","-75.822790213100006","3"
"BOYACA","15","TASCO","790","15-790","5.9089889637399997","-72.782372554700004","9"
"ANTIOQUIA","05","CIUDAD BOLIVAR","101","05-101","5.8465170006699996","-76.0133228121","20"
"SANTANDER","68","PUENTE NACIONAL","572","68-572","5.87819149232","-73.677509751900004","25"
"ANTIOQUIA","05","ABEJORRAL","002","05-002","5.7895399602399999","-75.428920421699999","18"
"ANTIOQUIA","05","SONSON","756","05-756","5.7127880537599998","-75.310302436100002","39"
"SANTANDER","68","JESUS MARIA","368","68-368","5.8765314898799996","-73.782782592299995","2"
"BOYACA","15","FLORESTA","276","15-276","5.8594391656799996","-72.919039102699998","3"
"BOYACA","15","OTANCHE","507","15-507","5.6579926991100002","-74.181310181499995","3"
"ANTIOQUIA","05","PUEBLORRICO","576","05-576","5.7934160853099996","-75.840577843199995","6"
"ANTIOQUIA","05","JERICO","368","05-368","5.7924555763400001","-75.784627705000005","24"
"SANTANDER","68","FLORIAN","271","68-271","5.8049492536200002","-73.970963595499995","2"
"SANTANDER","68","ALBANIA","020","68-020",NA,NA,"0"
"BOYACA","15","CORRALES","215","15-215","5.8280829793700004","-72.844807529600004","4"
"BOYACA","15","SOTAQUIRA","763","15-763","5.7651663517299996","-73.247226179600005","1"
"BOYACA","15","BUSBANZA","114","15-114","5.8303788942099999","-72.883883427100002","1"
"BOYACA","15","PISBA","550","15-550","5.7230584239300004","-72.483182780899995","1"
"ANTIOQUIA","05","LA PINTADA","390","05-390",NA,NA,"0"
"BOYACA","15","ARCABUCO","051","15-051","5.7566144716799998","-73.4396912192","2"
"CUNDINAMARCA","25","YACOPI","885","25-885","5.45953992922","-74.338426636799994","2"
"BOYACA","15","GAMEZA","296","15-296","5.80283711498","-72.806210215700006","5"
"CASANARE","85","PORE","263","85-263","5.7267662020300003","-71.992392808100007","6"
"ANTIOQUIA","05","HISPANIA","353","05-353","5.7988794991999999","-75.904937488100003","2"
"BOYACA","15","PAYA","533","15-533",NA,NA,"0"
"BOYACA","15","PAUNA","531","15-531","5.6565365517700004","-73.9785815826","4"
"ANTIOQUIA","05","TAMESIS","789","05-789","5.6651767583600003","-75.714221535199997","16"
"ANTIOQUIA","05","BETANIA","091","05-091","5.7278804925799998","-75.985964295200006","9"
"BOYACA","15","GACHANTIVA","293","15-293","5.7519680473800001","-73.549315335800003","3"
"BOYACA","15","COMBITA","204","15-204","5.6343342160000001","-73.323842334399998","4"
"BOYACA","15","NOBSA","491","15-491","5.7705711380400002","-72.940260727400002","15"
"BOYACA","15","TIBASOSA","806","15-806","5.7471541431900004","-72.999646496599993","4"
"CUNDINAMARCA","25","PUERTO SALGAR","572","25-572","5.4649792371199997","-74.652718122699994","6"
"BOYACA","15","SANTA SOFIA","696","15-696",NA,NA,"0"
"BOYACA","15","TOPAGA","820","15-820","5.76927431898","-72.833350555500004","1"
"BOYACA","15","SABOYA","632","15-632","5.6968992934599996","-73.762917433499993","8"
"ANTIOQUIA","05","ANDES","034","05-034","5.6568846954399996","-75.879251018999994","45"
"ANTIOQUIA","05","ARGELIA","055","05-055","2.3251402700599999","-77.255090913299995","10"
"BOYACA","15","SAN PABLO DE BORBUR","681","15-681","5.65901775706","-74.066592331699994","3"
"BOYACA","15","MONGUA","464","15-464","5.7528304274200002","-72.800205130899997","10"
"BOYACA","15","SOGAMOSO","759","15-759","5.7248620526599998","-72.923236899000003","507"
"ANTIOQUIA","05","VALPARAISO","856","05-856","1.19761525166","-75.7053662852","4"
"CHOCO","27","LLORO","413","27-413","5.4999618616900001","-76.542524736800004","10"
"CALDAS","17","AGUADAS","013","17-013","5.6126036827999997","-75.455726565000006","50"
"BOYACA","15","TUNUNGUA","832","15-832","5.7304079790099998","-73.933035062200005","1"
"BOYACA","15","MONGUI","466","15-466","5.7233616437199997","-72.848879884799999","9"
"BOYACA","15","CHIQUINQUIRA","176","15-176","5.6148510569700001","-73.818710714600002","166"
"BOYACA","15","BRICEÑO","106","15-106","5.6901643120300003","-73.923303998700007","1"
"BOYACA","15","TUTA","837","15-837","5.6907280799800004","-73.225885368199997","6"
"CASANARE","85","NUNCHIA","225","85-225","5.6371293741299997","-72.195382649500004","2"
"BOYACA","15","VILLA DE LEYVA","407","15-407","5.6362379595699998","-73.526445507399998","21"
"BOYACA","15","FIRAVITOBA","272","15-272","5.6691208349600002","-72.993720395899999","5"
"BOYACA","15","SUTAMARCHAN","776","15-776","5.6201439087700003","-73.620563706200002","4"
"BOYACA","15","MOTAVITA","476","15-476","5.5775442650100002","-73.368149802399998","2"
"ANTIOQUIA","05","JARDIN","364","05-364","5.6009650382","-75.823066928299994","21"
"ANTIOQUIA","05","NARIÑO","483","05-483","5.6109955219299996","-75.174921294200004","117"
"BOYACA","15","LABRANZAGRANDE","377","15-377","5.5623583420799996","-72.577594124499996","6"
"BOYACA","15","CHIQUIZA","232","15-232","5.6044024179700003","-73.485720328599996","1"
"CHOCO","27","BAGADO","073","27-073","5.4117154208900002","-76.415960274","2"
"BOYACA","15","MARIPI","442","15-442","5.5492927724900003","-74.004648807300001","3"
"BOYACA","15","QUIPAMA","580","15-580","5.5234469629099996","-74.179166914000007","2"
"BOYACA","15","OICATA","500","15-500",NA,NA,"0"
"BOYACA","15","AQUITANIA","047","15-047","5.5183103889099998","-72.884350515099996","7"
"BOYACA","15","IZA","362","15-362","5.6123584486700002","-72.979648402799995","6"
"BOYACA","15","TOCA","814","15-814","5.5654186378599997","-73.184517463399999","11"
"BOYACA","15","SORA","762","15-762","5.5668565407499999","-73.4498672629","2"
"BOYACA","15","TUNJA","001","15-001","5.5393706358400001","-73.354363818600007","715"
"BOYACA","15","TINJACA","808","15-808","5.5790193290700003","-73.6471490956","1"
"BOYACA","15","PESCA","542","15-542","5.5586875279200001","-73.050663427999993","15"
"BOYACA","15","CHIVATA","187","15-187","5.5604015260799997","-73.280894623199998","1"
"BOYACA","15","CALDAS","131","15-131","5.55446875145","-73.865310346399994","3"
"BOYACA","15","SACHICA","638","15-638",NA,NA,"0"
"BOYACA","15","SAN MIGUEL DE SEMA","676","15-676",NA,NA,"0"
"ANTIOQUIA","05","CARAMANTA","145","05-145","5.5490947861300004","-75.645331566400003","20"
"BOYACA","15","MUZO","480","15-480","5.5312793139499998","-74.103000990699996","9"
"BOYACA","15","CUITIVA","226","15-226","5.5802641113","-72.966128650300007","4"
"CALDAS","17","PACORA","513","17-513","5.5286868955899999","-75.460008910100001","39"
"CALDAS","17","VICTORIA","867","17-867","5.3170644503500002","-74.910692632199996","6"
"CUNDINAMARCA","25","SIMIJACA","745","25-745","5.50477875195","-73.850102122099997","31"
"BOYACA","15","RAQUIRA","600","15-600","5.5387379362500004","-73.632288563700001","5"
"CHOCO","27","BAJO BAUDO","077","27-077","4.9539490299900004","-77.364317909999997","5"
"BOYACA","15","CUCAITA","224","15-224","5.5430184209800002","-73.454200080999996","7"
"CASANARE","85","SAN LUIS DE PALENQUE","325","85-325","5.4218395761","-71.731229887400005","5"
"BOYACA","15","TOTA","822","15-822","5.5608799048800002","-72.985428157200005","1"
"CASANARE","85","YOPAL","001","85-001","5.3324911756300004","-72.393790533200004","114"
"CUNDINAMARCA","25","CAPARRAPI","148","25-148","5.3435712207300003","-74.492195272399996","8"
"CASANARE","85","TRINIDAD","430","85-430","5.4110162237599999","-71.662678650900006","6"
"BOYACA","15","SAMACA","646","15-646","5.4926274035700002","-73.485971456200005","11"
"VICHADA","99","SANTA ROSALIA","624","99-624",NA,NA,"0"
"CALDAS","17","PENSILVANIA","541","17-541","5.3837185168200001","-75.159294496000001","57"
"CALDAS","17","RIOSUCIO","614","17-614","5.4239534746100002","-75.702318848900006","100"
"BOYACA","15","SIACHOQUE","740","15-740","5.5110190010100002","-73.2451885941","8"
"BOYACA","15","LA VICTORIA","401","15-401",NA,NA,"0"
"BOYACA","15","BUENAVISTA","109","15-109","5.51174852719","-73.940999029300002","5"
"CALDAS","17","MARMATO","442","17-442","5.4743336714400002","-75.599690418799995","7"
"CALDAS","17","SUPIA","777","17-777","5.4460999337600002","-75.649466208999996","38"
"BOYACA","15","COPER","212","15-212","5.4753923797999997","-74.045035290599998","1"
"BOYACA","15","SORACA","764","15-764",NA,NA,"0"
"CUNDINAMARCA","25","SUSA","779","25-779","5.4532794334699997","-73.813683366800007","6"
"RISARALDA","66","MISTRATO","456","66-456","5.2946657063","-75.879419333800001","4"
"CUNDINAMARCA","25","GUACHETA","317","25-317","5.3835900895800002","-73.686896118500002","10"
"CUNDINAMARCA","25","FUQUENE","288","25-288","5.4040039104100002","-73.795809798799993","2"
"BOYACA","15","VIRACACHA","879","15-879","5.4367075625699997","-73.296664700400001","4"
"CALDAS","17","SALAMINA","653","17-653","5.4026014886000002","-75.487170955799996","89"
"VICHADA","99","CUMARIBO","773","99-773","4.4444876220899996","-69.7985426682","2"
"CUNDINAMARCA","25","CARMEN DE CARUPA","154","25-154","5.34908578768","-73.900983103900003","8"
"CUNDINAMARCA","25","PAIME","518","25-518","5.3708203179999998","-74.152804623700007","2"
"BOYACA","15","RONDON","621","15-621","5.3570360385200004","-73.2085952061","1"
"BOYACA","15","BOYACA","104","15-104","5.4545538322700002","-73.362026827500003","1"
"CALDAS","17","LA MERCED","388","17-388","5.3948045596599998","-75.547348163300001","14"
"CUNDINAMARCA","25","LA PALMA","394","25-394","5.3589652252500004","-74.390911277200004","4"
"CHOCO","27","CANTON DEL SAN PABLO","135","27-135","5.3353866713700002","-76.727220061300002","1"
"BOYACA","15","PAJARITO","518","15-518","5.2938006717799997","-72.702566329800007","2"
"BOYACA","15","VENTAQUEMADA","861","15-861","5.3692518826500004","-73.520632406399997","6"
"CUNDINAMARCA","25","GUADUAS","320","25-320","5.0724899937599996","-74.603414551","28"
"CUNDINAMARCA","25","SAN CAYETANO","653","25-653",NA,NA,"0"
"CUNDINAMARCA","25","TOPAIPI","823","25-823",NA,NA,"0"
"BOYACA","15","RAMIRIQUI","599","15-599","5.4011777712900004","-73.335465553299997","20"
"BOYACA","15","CIENEGA","189","15-189","5.4095211335600002","-73.296089676199998","7"
"RISARALDA","66","PUEBLO RICO","572","66-572","5.2220911893100004","-76.030798910300007","3"
"BOYACA","15","JENESANO","367","15-367","5.3848793621900004","-73.363958456700004","4"
"RISARALDA","66","QUINCHIA","594","66-594","5.3411467418800003","-75.730936787199994","15"
"BOYACA","15","NUEVO COLON","494","15-494","5.3550669561699999","-73.457066538500001","6"
"RISARALDA","66","GUATICA","318","66-318","5.31491484847","-75.796448364300005","15"
"CHOCO","27","TADO","787","27-787","5.2654259935200001","-76.554776305000004","15"
"CALDAS","17","FILADELFIA","272","17-272","5.2973502778599997","-75.562282237000005","30"
"CUNDINAMARCA","25","VILLA DE SAN DIEGO DE UBATE","843","25-843","5.3051642785800004","-73.819612402000004","60"
"CASANARE","85","AGUAZUL","010","85-010","5.1699854306399997","-72.552585337799997","21"
"CUNDINAMARCA","25","LENGUAZAQUE","407","25-407","5.3060264957400003","-73.7114452271","3"
"BOYACA","15","TIBANA","804","15-804","5.3161844652600001","-73.396744502600001","13"
"CASANARE","85","RECETOR","279","85-279",NA,NA,"0"
"CASANARE","85","CHAMEZA","015","85-015",NA,NA,"0"
"BOYACA","15","TURMEQUE","835","15-835","5.3238457501300003","-73.488565696899997","13"
"BOYACA","15","ZETAQUIRA","897","15-897","528434656469","-731720299685","1"
"CALDAS","17","ARANZAZU","050","17-050","5.2713043849299996","-75.490777311100004","39"
"CALDAS","17","MARULANDA","446","17-446","5.2835107602000004","-75.258325325000001","8"
"CUNDINAMARCA","25","VILLAGOMEZ","871","25-871",NA,NA,"0"
"CALDAS","17","MARQUETALIA","444","17-444","5.2986508958199998","-75.047853972599995","29"
"CUNDINAMARCA","25","VILLAPINZON","873","25-873","5.21481263033","-73.596813596499999","14"
"CALDAS","17","MANZANARES","433","17-433","5.2541016058199999","-75.153501991799999","56"
"CUNDINAMARCA","25","EL PEÑON","258","25-258","5.2490834127500001","-74.290162590400001","1"
"TOLIMA","73","MARIQUITA","443","73-443","5.2001696300700004","-74.889335465399995","26"
"TOLIMA","73","HONDA","349","73-349","5.2009820431499998","-74.7417614867","38"
"CUNDINAMARCA","25","CUCUNUBA","224","25-224","5.2505903320699998","-73.766310611999998","3"
"CALDAS","17","ANSERMA","042","17-042","5.2380738296500002","-75.783996582300006","40"
"TOLIMA","73","FRESNO","283","73-283","5.15358768839","-75.036194982500007","81"
"BOYACA","15","SAN EDUARDO","660","15-660","5.2242066171600001","-73.076602637899995","3"
"CALDAS","17","NEIRA","486","17-486","5.1370365374800002","-75.522180749900002","80"
"CUNDINAMARCA","25","LA PEÑA","398","25-398",NA,NA,"0"
"CUNDINAMARCA","25","PACHO","513","25-513","5.1508200093000003","-74.146179540399999","24"
"CUNDINAMARCA","25","SUTATAUSA","781","25-781","5.2473689617000003","-73.853008391399996","3"
"RISARALDA","66","BELEN DE UMBRIA","088","66-088","5.2008191020899996","-75.8684957854","6"
"BOYACA","15","CHINAVITA","172","15-172","5.1674166286799998","-73.368628937899999","5"
"BOYACA","15","BERBEO","090","15-090","5.2271520402","-73.126864351099996","4"
"BOYACA","15","UMBITA","842","15-842","5.2177530751800001","-73.457452668200006","6"
"CUNDINAMARCA","25","TAUSA","793","25-793","519568350829","-738875918059","1"
"CUNDINAMARCA","25","UTICA","851","25-851","5.1908969539100003","-74.483529538799999","2"
"CHOCO","27","CONDOTO","205","27-205","5.0935079386100002","-76.6465174314","28"
