"PROGRAMA","FACULTAD","TIPO_NIVEL","SEDE_NOMBRE_MAT","2009","2019"
"Administracion De Empresas","Ingeniería Y Administración","Pregrado","Palmira",61,50
"Diseño Industrial","Ingeniería Y Administración","Pregrado","Palmira",34,40
"Ingenieria Agricola","Ingeniería Y Administración","Pregrado","Palmira",30,38
"Ingenieria Agroindustrial","Ingeniería Y Administración","Pregrado","Palmira",63,59
"Ingenieria Agronomica","Ciencias Agropecuarias","Pregrado","Palmira",78,42
"Ingenieria Ambiental","Ingeniería Y Administración","Pregrado","Palmira",52,80
"Zootecnia","Ciencias Agropecuarias","Pregrado","Palmira",42,22
