"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"Carcasi",-72.626411529,6.62673429701,1
"Carepa",-76.6531189552,7.75420419468,7
"Carmen de carupa",-73.9009831039,5.34908578768,8
"Carolina",-75.2835999381,6.72599435248,7
"Cartagena de indias",-75.5115044653,10.182784623,318
"Cartagena de indias",-75.501229216,10.3988164844,37
"Cartagena del chaira",-74.8475720157,1.3340194073,14
"Cartago",-75.911513294,4.73852191576,119
"Casabianca",-75.1197910712,5.07914791303,7
"Castilla la nueva",-73.689021563,3.82798261678,3
"Caucasia",-75.1985143435,7.97776036994,66
"Cerete",-75.7918818626,8.88666155327,46
"Cerinza",-72.9477205036,5.955976752,5
"Cerrito",-72.6947276921,6.84311761625,1
"Cerro san antonio",-74.8687983704,10.3262615876,2
"Chaguani",-74.592714462,4.94773060064,3
"Chaparral",-75.4835822098,3.72576111019,34
"Charala",-73.1466694378,6.28533512166,11
"Chia",-74.0496481882,4.86580207151,158
"Chigorodo",-76.6815647246,7.66615644949,27
"Chima",-75.6273818148,9.14934447081,3
"Chimichagua",-73.8130833029,9.25788108195,24
"Chinacota",-72.6024502906,7.6025629692,19
"Chinavita",-73.3686289379,5.16741662868,5
"Chinchina",-75.6063849663,4.98551800459,126
"Chinu",-75.4016749242,9.10415277266,19
"Chipaque",-74.0445981737,4.44253070667,6
"Chipata",-73.6372840635,6.06258983185,2
"Chiquinquira",-73.8187107146,5.61485105697,166
"Chiquiza",-73.4857203286,5.60440241797,1
"Chiriguana",-73.6009132147,9.36137942001,6
"Chiscas",-72.5002931534,6.55349164254,4
"Chita",-72.4735580541,6.18742408063,9
"Chitaga",-72.6648097105,7.13853760731,2
"Chitaraque",-73.4469293634,6.02747548905,4
"Chivata",-73.2808946232,5.56040152608,1
"Chivor",-73.3698003698,4.88876763021,1
"Choachi",-73.9229671902,4.52901585653,17
"Choconta",-73.6832205258,5.14485856952,18
"Cienaga",-74.241368069,11.0074328111,14
"Cienaga de oro",-75.6221093386,8.87817659518,11
"Cienega",-73.2960896762,5.40952113356,7
"Cimitarra",-73.9548939419,6.31369089431,2
"Circasia",-75.6356141135,4.61512679433,7
"Cisneros",-75.0862390602,6.53887519896,25
"Ciudad bolivar",-76.0133228121,5.84651700067,20
"Cocorna",-75.1856126097,6.05788879642,16
"Cogua",-73.9782582487,5.06180883195,3
"Colombia",-74.8028951615,3.37652482145,9
"Colon",-76.9689800339,1.19200057658,58
"Coloso",-75.3557164394,9.49094661829,1
"Combita",-73.3238423344,5.634334216,4
"Concepcion",-75.256527061,6.39397607889,8
"Concordia",-74.8334493147,10.2576584509,14
"Condoto",-76.6465174314,5.09350793861,28
"Consaca",-77.4657184135,1.20719433138,11
"Contadero",-77.5478326274,0.908386320471,7
"Contratacion",-73.4743899923,6.29046114389,5
"Convencion",-73.3371949282,8.46999501786,7
"Copacabana",-75.5024226761,6.35822753091,42
"Coper",-74.0450352906,5.4753923798,1
"Cordoba",-77.51806895,0.853665965806,43
"Corinto",-76.2616272807,3.17565160975,6
"Corozal",-75.2920234071,9.32068414479,49
"Corrales",-72.8448075296,5.82808297937,4
"Cota",-74.1029336394,4.8087009681,25
"Cotorra",-75.7855680706,9.04026968268,6
"Coyaima",-75.1962077778,3.79872369111,4
"Cravo norte",-70.2035675603,6.30339369864,11
"Cuaspud",-77.4378844704,0.7365252068,7
"Cubara",-72.1060298045,7.00373327286,3
"Cubarral",-73.8350109557,3.79490489067,7
"Cucaita",-73.454200081,5.54301842098,7
"Cucunuba",-73.766310612,5.25059033207,3
"Cucuta",-72.5055909659,7.90526711655,465
"Cucutilla",-72.7724467652,7.53917387611,1
"Cuitiva",-72.9661286503,5.5802641113,4
"Cumaral",-73.4874864381,4.26706185387,14
"Cumaribo",-69.7985426682,4.44448762209,2
"Cumbal",-77.7912420697,0.906450846049,81
"Cumbitara",-77.5784311039,1.64767179037,3
"Cunday",-74.6932717766,4.05974687946,6
"Curillo",-75.9203547685,1.03365529502,4
"Curiti",-73.0689588035,6.60459799378,2
"Curumani",-73.5413642738,9.2003397841,4
"Dabeiba",-76.2629740972,7.00003402635,17
"Dagua",-76.6891747623,3.65739350075,14
"Darien",-76.4842233721,3.93522394764,2
"Dolores",-74.8974337106,3.53844375037,6
"Donmatias",-75.3940951645,6.48588534626,23
"Dosquebradas",-75.675182816,4.83463403327,22
"Duitama",-73.0302686329,5.81936914099,544
"Durania",-72.6561980754,7.71421899786,2
"Ebejico",-75.7668777263,6.327259705,13
"El aguila",-76.0413378052,4.9098804712,1
"El bagre",-74.8047104261,7.59295465249,48
"El banco",-73.979391715,8.99831827352,12
"El cairo",-76.2234172512,4.75849388321,5
"El calvario",-73.713455028,4.35217015755,2
"El carmen",-73.4467753988,8.51075882437,7
"El carmen de atrato",-76.1419665724,5.90066567336,18
"El carmen de bolivar",-75.1211388325,9.71803422099,23
"El carmen de chucuri",-73.5131237068,6.69791160477,1
"El carmen de viboral",-75.335269012,6.08497157368,51
"El castillo",-73.7941628752,3.56471902834,3
"El cerrito",-76.3117340825,3.68475027511,31
"El charco",-78.1083281297,2.4758772781,3
"El cocuy",-72.4454127648,6.41037802779,14
"El colegio",-74.442739512,4.57826466852,24
"El copey",-73.9613702508,10.1491321093,8
"El doncello",-75.2828373662,1.67906350715,19
"El dovio",-76.2372660275,4.50991498952,6
"El encanto",-72.724005861231,-2.0086230627875,1
"El espino",-72.4963221128,6.4826131397,1
"El molino",-72.9216582848,10.651063157,2
"El paujil",-75.3267456512,1.57049113684,2
"El peñol",-77.4398362894,1.45363406894,3
"El peñon",-74.2901625904,5.24908341275,7
"El piñon",-74.8251113994,10.4010789014,1
"El playon",-73.2046203518,7.47271835801,2
"El retorno",-72.6279707884,2.33079719736,2
"El rosario",-77.3346286535,1.74490322467,1
"El santuario",-75.2613936054,6.13596027701,26
"El tablon de gomez",-77.0973463182,1.42729321308,8
