"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"CESAR","BECERRIL","20-045","9.70413367081","-73.2781073363"
"BOLIVAR","SAN JACINTO","13-654","9.83065775253","-75.1217447993"
"BOLIVAR","EL CARMEN DE BOLIVAR","13-244","9.71803422099","-75.1211388325"
"CESAR","EL PASO","20-250",NA,NA
"BOLIVAR","ZAMBRANO","13-894","9.75140245083","-74.8258813861"
"MAGDALENA","SANTA ANA","47-707","9.32286178066","-74.56741811"
"MAGDALENA","PIJIÑO DEL CARMEN","47-545",NA,NA
"SUCRE","OVEJAS","70-508","9.52598596406","-75.2288076868"
"CESAR","LA JAGUA DE IBIRICO","20-400","9.56286705626","-73.3355518107"
"SUCRE","CHALAN","70-230",NA,NA
"BOLIVAR","CORDOBA","13-212","0.853665965806","-77.51806895"
"SUCRE","TOLUVIEJO","70-823","9.45318799461","-75.4395557882"
"SUCRE","COLOSO","70-204","9.49094661829","-75.3557164394"
"CESAR","CHIRIGUANA","20-178","9.36137942001","-73.6009132147"
"CESAR","ASTREA","20-032","9.49533435313","-73.9753900254"
"SUCRE","SAN PEDRO","70-717","3.99415724449","-76.229433837"
"CESAR","CHIMICHAGUA","20-175","9.25788108195","-73.8130833029"
"SUCRE","LOS PALMITOS","70-418","9.3801770601","-75.26813259"
"SUCRE","MORROA","70-473","9.32892494265","-75.3103986052"
"MAGDALENA","SAN SEBASTIAN DE BUENAVISTA","47-692","9.24098424823","-74.3474746121"
"MAGDALENA","SAN ZENON","47-703","9.24400707382","-74.4997338344"
"BOLIVAR","MAGANGUE","13-430","8.99261335751","-74.5867279829"
"SUCRE","BUENAVISTA","70-110","5.51174852719","-73.9409990293"
"CORDOBA","SAN ANTERO","23-672","9.3709325454","-75.762201967"
"CORDOBA","SAN BERNARDO DEL VIENTO","23-675","9.35387799342","-75.9540444905"
"SUCRE","SINCELEJO","70-001","9.30015762595","-75.385219416"
"BOLIVAR","TALAIGUA NUEVO","13-780","9.30540280812","-74.567911851"
"SUCRE","SINCE","70-742","9.24448244293","-75.1466720381"
"SUCRE","PALMITO","70-523",NA,NA
"SUCRE","SAN JUAN DE BETULIA","70-702","9.27457243391","-75.2429969111"
"CESAR","CURUMANI","20-228","9.2003397841","-73.5413642738"
"MAGDALENA","GUAMAL","47-318","3.87974360369","-73.7701203762"
"SUCRE","COROZAL","70-215","9.32068414479","-75.2920234071"
"MAGDALENA","EL BANCO","47-245","8.99831827352","-73.979391715"
"CORDOBA","MOÑITOS","23-500","9.24470996414","-76.134916122"
"CORDOBA","LORICA","23-417","9.10501029486","-75.8066454098"
"CORDOBA","PURISIMA","23-586",NA,NA
