"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"SANTANDER","GUAPOTA","68-322","6.3083874905","-73.3209067076"
"ANTIOQUIA","PEÑOL","05-541","6.2216831826","-75.2123722544"
"CHOCO","QUIBDO","27-001","5.69234946505","-76.6511246326"
"BOYACA","LA UVITA","15-403","6.31679484036","-72.5594378649"
"SANTANDER","OIBA","68-500","6.26704785206","-73.3000340004"
"ANTIOQUIA","SAN CARLOS","05-649","6.12831821891","-74.8354218238"
"ANTIOQUIA","GUARNE","05-318","6.2692840353564","-75.4353027477292"
"SANTANDER","EL GUACAMAYO","68-245",NA,NA
"VICHADA","PUERTO CARREÑO","99-001","6.18560656721","-67.4855961"
"SANTANDER","GUADALUPE","68-320","2.02297348548","-75.7590386418"
"ANTIOQUIA","GUATAPE","05-321","6.23233737137","-75.1556269715"
"ANTIOQUIA","BETULIA","05-093","6.10909980708","-75.9841907479"
"ANTIOQUIA","HELICONIA","05-347","6.2144824592065","-75.7496020650797"
"BOYACA","CHITA","15-183","6.18742408063","-72.4735580541"
"BOYACA","SUSACON","15-774","6.2307747366","-72.6897880303"
"SANTANDER","BOLIVAR","68-101","1.83756270293","-76.9667571992"
"ANTIOQUIA","PUERTO NARE","05-585","6.18204690082","-74.5851321578"
"BOYACA","PUERTO BOYACA","15-572","5.97331379456","-74.5750541387"
"CASANARE","HATO COROZAL","85-125","6.15639181167","-71.7646275436"
"ANTIOQUIA","MARINILLA","05-440","6.1735481398","-75.3380784357"
"ANTIOQUIA","ARMENIA","05-059","4.53805331619","-75.6762454094"
"ANTIOQUIA","RIONEGRO","05-615","6.14622006041","-75.3762557551"
"CASANARE","LA SALINA","85-136",NA,NA
"ANTIOQUIA","GRANADA","05-313","3.5349351906","-73.698477557"
"ANTIOQUIA","RETIRO","05-607","6.06324258169","-75.5020105794"
"SANTANDER","AGUADA","68-013",NA,NA
"ANTIOQUIA","ITAGUI","05-360","6.16815830322","-75.629721946"
"ANTIOQUIA","ITAGUI","05-360","6.16815830322","-75.629721946"
"ANTIOQUIA","ENVIGADO","05-266","6.16666179755","-75.5831907344"
"VICHADA","LA PRIMAVERA","99-524",NA,NA
"ANTIOQUIA","ANGELOPOLIS","05-036","6.11188033761","-75.708330776"
"SANTANDER","ENCINO","68-264",NA,NA
"ANTIOQUIA","LA ESTRELLA","05-380","6.16404964537","-75.6504125158"
"SANTANDER","SUAITA","68-770","6.09835314273","-73.4403162236"
"BOYACA","JERICO","15-368","5.7697584791988","-75.7647999637893"
"SANTANDER","EL PEÑON","68-250","5.24908341275","-74.2901625904"
"ANTIOQUIA","CONCORDIA","05-209","10.2576584509","-74.8334493147"
"ANTIOQUIA","SABANETA","05-631","6.15089231663","-75.6153508751"
"ANTIOQUIA","EL SANTUARIO","05-697","6.13596027701","-75.2613936054"
"BOYACA","SATIVANORTE","15-720","6.13152095194","-72.7078717765"
"SANTANDER","SAN BENITO","68-673","6.1266069813","-73.509474163"
"BOYACA","TUTAZA","15-839",NA,NA
"ANTIOQUIA","TITIRIBI","05-809","6.06294586497","-75.7947081203"
"ANTIOQUIA","EL CARMEN DE VIBORAL","05-148","6.08497157368","-75.335269012"
"ANTIOQUIA","SAN LUIS","05-660","4.13388114891","-75.0958703911"
"BOYACA","SOCOTA","15-755","6.04117539594","-72.6364603722"
"ANTIOQUIA","CALDAS","05-129","5.55446875145","-73.8653103464"
"SANTANDER","CHIPATA","68-179","6.06258983185","-73.6372840635"
"ANTIOQUIA","SALGAR","05-642","5.96116241719","-75.9754359618"
"CASANARE","SACAMA","85-315","6.09789911488","-72.2488935738"
"SANTANDER","SUCRE","68-773","5.91903257843","-73.7914904516"
"ANTIOQUIA","COCORNA","05-197","6.05788879642","-75.1856126097"
"CASANARE","PAZ DE ARIPORO","85-250","5.88140262363","-71.8917286791"
"BOYACA","SANTANA","15-686","5.77845241642","-72.9316301644"
"ANTIOQUIA","AMAGA","05-030","6.0326518277961","-75.7076638080808"
"BOYACA","SATIVASUR","15-723","6.093234404","-72.7120698536"
"SANTANDER","GUEPSA","68-327","6.02638642861","-73.5713144981"
"SANTANDER","GUEPSA","68-327","6.02638642861","-73.5713144981"
"BOYACA","PAZ DE RIO","15-537","5.98807090613","-72.7475252291"
"ANTIOQUIA","LA CEJA","05-376","5.993145794356","-75.4309210797418"
"CHOCO","ALTO BAUDO","27-025","5.51548003909","-76.975714731"
"BOYACA","SOCHA","15-757","5.99685874976","-72.6916265433"
"ANTIOQUIA","LA UNION","05-400","1.59247717673","-77.128385668"
"BOYACA","BELEN","15-087","1.59564430447","-77.016287834"
"BOYACA","CHITARAQUE","15-185","6.02747548905","-73.4469293634"
"BOYACA","SAN JOSE DE PARE","15-664","6.01961048939","-73.5434490918"
"ANTIOQUIA","PUERTO TRIUNFO","05-591","5.88820840277","-74.6340235664"
"CASANARE","TAMARA","85-400","5.82909664859","-72.1642249065"
"SANTANDER","GAMBITA","68-298","5.94583041292","-73.3426272948"
"ANTIOQUIA","VENECIA","05-861","4.08916639341","-74.4777195337"
"CHOCO","NUQUI","27-495","5.70573912127","-77.2702238384"
"SANTANDER","BARBOSA","68-077","5.93031783104","-73.6175602711"
"SANTANDER","LA BELLEZA","68-377","5.85928066933","-73.9649519446"
"ANTIOQUIA","SANTA BARBARA","05-679","5.96365315143","-75.5885104731"
"SANTANDER","GUAVATA","68-324",NA,NA
"CHOCO","EL CARMEN DE ATRATO","27-245","5.90066567336","-76.1419665724"
"BOYACA","CERINZA","15-162","5.955976752","-72.9477205036"
"BOYACA","PAIPA","15-516","5.78048910058","-73.1167437822"
"BOYACA","DUITAMA","15-238","5.81936914099","-73.0302686329"
"ANTIOQUIA","MONTEBELLO","05-467","5.94656365917","-75.5237539337"
"ANTIOQUIA","FREDONIA","05-282","5.92484004201","-75.671166144"
"BOYACA","SANTA ROSA DE VITERBO","15-693","5.87473860404","-72.9823863595"
"ANTIOQUIA","SAN FRANCISCO","05-652","1.17674026489","-76.875892028"
"BOYACA","BETEITIVA","15-092","5.91081053448","-72.8089600105"
"BOYACA","TOGUI","15-816","5.93754576969","-73.5135719162"
"BOYACA","MONIQUIRA","15-469","5.87376486789","-73.5741080327"
"ANTIOQUIA","TARSO","05-792","5.8654485824","-75.8227902131"
"BOYACA","TASCO","15-790","5.90898896374","-72.7823725547"
"ANTIOQUIA","CIUDAD BOLIVAR","05-101","5.84651700067","-76.0133228121"
"SANTANDER","PUENTE NACIONAL","68-572","5.87819149232","-73.6775097519"
"ANTIOQUIA","ABEJORRAL","05-002","5.78953996024","-75.4289204217"
"ANTIOQUIA","SONSON","05-756","5.71278805376","-75.3103024361"
"SANTANDER","JESUS MARIA","68-368","5.87653148988","-73.7827825923"
"BOYACA","FLORESTA","15-276","5.85943916568","-72.9190391027"
"BOYACA","OTANCHE","15-507","5.65799269911","-74.1813101815"
"ANTIOQUIA","PUEBLORRICO","05-576","5.79341608531","-75.8405778432"
"ANTIOQUIA","JERICO","05-368","5.7697584791988","-75.7647999637893"
"SANTANDER","FLORIAN","68-271","5.80494925362","-73.9709635955"
"SANTANDER","ALBANIA","68-020",NA,NA
"BOYACA","CORRALES","15-215","5.82808297937","-72.8448075296"
"BOYACA","SOTAQUIRA","15-763","5.76516635173","-73.2472261796"
"BOYACA","BUSBANZA","15-114","5.83037889421","-72.8838834271"
"BOYACA","PISBA","15-550","5.72305842393","-72.4831827809"
"ANTIOQUIA","LA PINTADA","05-390",NA,NA
"BOYACA","ARCABUCO","15-051","5.75661447168","-73.4396912192"
"CUNDINAMARCA","YACOPI","25-885","5.45953992922","-74.3384266368"
"BOYACA","GAMEZA","15-296","5.80283711498","-72.8062102157"
"CASANARE","PORE","85-263","5.72676620203","-71.9923928081"
"ANTIOQUIA","HISPANIA","05-353","5.7988794992","-75.9049374881"
"BOYACA","PAYA","15-533",NA,NA
"BOYACA","PAUNA","15-531","5.65653655177","-73.9785815826"
"ANTIOQUIA","TAMESIS","05-789","5.66517675836","-75.7142215352"
"ANTIOQUIA","BETANIA","05-091","5.72788049258","-75.9859642952"
"BOYACA","GACHANTIVA","15-293","5.75196804738","-73.5493153358"
"BOYACA","COMBITA","15-204","5.634334216","-73.3238423344"
"BOYACA","NOBSA","15-491","5.77845241642","-72.9316301644"
"BOYACA","TIBASOSA","15-806","5.74715414319","-72.9996464966"
"CUNDINAMARCA","PUERTO SALGAR","25-572","5.46497923712","-74.6527181227"
"BOYACA","SANTA SOFIA","15-696",NA,NA
"BOYACA","TOPAGA","15-820","5.76927431898","-72.8333505555"
"BOYACA","SABOYA","15-632","5.69689929346","-73.7629174335"
"ANTIOQUIA","ANDES","05-034","5.65688469544","-75.879251019"
"ANTIOQUIA","ARGELIA","05-055","2.32514027006","-77.2550909133"
"BOYACA","SAN PABLO DE BORBUR","15-681","5.65901775706","-74.0665923317"
"BOYACA","MONGUA","15-464","5.75283042742","-72.8002051309"
"BOYACA","SOGAMOSO","15-759","5.72486205266","-72.923236899"
"ANTIOQUIA","VALPARAISO","05-856","1.19761525166","-75.7053662852"
"CHOCO","LLORO","27-413","5.49996186169","-76.5425247368"
"CALDAS","AGUADAS","17-013","5.6126036828","-75.455726565"
"BOYACA","TUNUNGUA","15-832","5.73040797901","-73.9330350622"
"BOYACA","MONGUI","15-466","5.72336164372","-72.8488798848"
"BOYACA","CHIQUINQUIRA","15-176","5.61485105697","-73.8187107146"
"BOYACA","BRICEÑO","15-106","5.69016431203","-73.9233039987"
"BOYACA","TUTA","15-837","5.69072807998","-73.2258853682"
"CASANARE","NUNCHIA","85-225","5.63712937413","-72.1953826495"
"BOYACA","VILLA DE LEYVA","15-407","5.63623795957","-73.5264455074"
"BOYACA","FIRAVITOBA","15-272","5.66912083496","-72.9937203959"
"BOYACA","SUTAMARCHAN","15-776","5.62014390877","-73.6205637062"
"BOYACA","MOTAVITA","15-476","5.57754426501","-73.3681498024"
"ANTIOQUIA","JARDIN","05-364","5.6009650382","-75.8230669283"
"ANTIOQUIA","NARIÑO","05-483","5.61099552193","-75.1749212942"
"BOYACA","LABRANZAGRANDE","15-377","5.56235834208","-72.5775941245"
"BOYACA","CHIQUIZA","15-232","5.60440241797","-73.4857203286"
"CHOCO","BAGADO","27-073","5.41171542089","-76.415960274"
"BOYACA","MARIPI","15-442","5.54929277249","-74.0046488073"
"BOYACA","QUIPAMA","15-580","5.52344696291","-74.179166914"
"BOYACA","OICATA","15-500",NA,NA
"BOYACA","AQUITANIA","15-047","5.51831038891","-72.8843505151"
"BOYACA","IZA","15-362","5.61235844867","-72.9796484028"
"BOYACA","TOCA","15-814","5.56541863786","-73.1845174634"
"BOYACA","SORA","15-762","5.56685654075","-73.4498672629"
"BOYACA","TUNJA","15-001","5.53937063584","-73.3543638186"
"BOYACA","TINJACA","15-808","5.57901932907","-73.6471490956"
"BOYACA","PESCA","15-542","5.55868752792","-73.050663428"
"BOYACA","CHIVATA","15-187","5.56040152608","-73.2808946232"
"BOYACA","CALDAS","15-131","5.55446875145","-73.8653103464"
"BOYACA","SACHICA","15-638",NA,NA
"BOYACA","SAN MIGUEL DE SEMA","15-676",NA,NA
"ANTIOQUIA","CARAMANTA","05-145","5.54909478613","-75.6453315664"
"BOYACA","MUZO","15-480","5.53127931395","-74.1030009907"
"BOYACA","CUITIVA","15-226","5.5802641113","-72.9661286503"
"CALDAS","PACORA","17-513","5.52868689559","-75.4600089101"
"CALDAS","VICTORIA","17-867","5.31706445035","-74.9106926322"
"CUNDINAMARCA","SIMIJACA","25-745","5.50477875195","-73.8501021221"
"BOYACA","RAQUIRA","15-600","5.53873793625","-73.6322885637"
"CHOCO","BAJO BAUDO","27-077","4.95394902999","-77.36431791"
"BOYACA","CUCAITA","15-224","5.54301842098","-73.454200081"
"CASANARE","SAN LUIS DE PALENQUE","85-325","5.4218395761","-71.7312298874"
"BOYACA","TOTA","15-822","5.56087990488","-72.9854281572"
"CASANARE","YOPAL","85-001","5.33249117563","-72.3937905332"
"CUNDINAMARCA","CAPARRAPI","25-148","5.34357122073","-74.4921952724"
"CASANARE","TRINIDAD","85-430","5.41101622376","-71.6626786509"
"BOYACA","SAMACA","15-646","5.49262740357","-73.4859714562"
"VICHADA","SANTA ROSALIA","99-624",NA,NA
"CALDAS","PENSILVANIA","17-541","5.38371851682","-75.159294496"
"CALDAS","RIOSUCIO","17-614","5.42395347461","-75.7023188489"
"BOYACA","SIACHOQUE","15-740","5.51101900101","-73.2451885941"
"BOYACA","LA VICTORIA","15-401",NA,NA
"BOYACA","BUENAVISTA","15-109","5.51174852719","-73.9409990293"
"CALDAS","MARMATO","17-442","5.47433367144","-75.5996904188"
"CALDAS","SUPIA","17-777","5.44609993376","-75.649466209"
"BOYACA","COPER","15-212","5.4753923798","-74.0450352906"
"BOYACA","SORACA","15-764",NA,NA
"CUNDINAMARCA","SUSA","25-779","5.45327943347","-73.8136833668"
"RISARALDA","MISTRATO","66-456","5.2946657063","-75.8794193338"
"CUNDINAMARCA","GUACHETA","25-317","5.38359008958","-73.6868961185"
"CUNDINAMARCA","FUQUENE","25-288","5.40400391041","-73.7958097988"
"BOYACA","VIRACACHA","15-879","5.43670756257","-73.2966647004"
"CALDAS","SALAMINA","17-653","5.4026014886","-75.4871709558"
"VICHADA","CUMARIBO","99-773","4.44448762209","-69.7985426682"
"CUNDINAMARCA","CARMEN DE CARUPA","25-154","5.34908578768","-73.9009831039"
"CUNDINAMARCA","PAIME","25-518","5.370820318","-74.1528046237"
"BOYACA","RONDON","15-621","5.35703603852","-73.2085952061"
"BOYACA","BOYACA","15-104","5.45455383227","-73.3620268275"
"CALDAS","LA MERCED","17-388","5.39480455966","-75.5473481633"
"CUNDINAMARCA","LA PALMA","25-394","5.35896522525","-74.3909112772"
"CHOCO","CANTON DEL SAN PABLO","27-135","5.33538667137","-76.7272200613"
"BOYACA","PAJARITO","15-518","5.29380067178","-72.7025663298"
"BOYACA","VENTAQUEMADA","15-861","5.36925188265","-73.5206324064"
"CUNDINAMARCA","GUADUAS","25-320","5.07248999376","-74.603414551"
"CUNDINAMARCA","SAN CAYETANO","25-653",NA,NA
"CUNDINAMARCA","TOPAIPI","25-823",NA,NA
"BOYACA","RAMIRIQUI","15-599","5.40117777129","-73.3354655533"
"BOYACA","CIENEGA","15-189","5.40952113356","-73.2960896762"
"RISARALDA","PUEBLO RICO","66-572","5.22209118931","-76.0307989103"
"BOYACA","JENESANO","15-367","5.38487936219","-73.3639584567"
"RISARALDA","QUINCHIA","66-594","5.34114674188","-75.7309367872"
"BOYACA","NUEVO COLON","15-494","5.35506695617","-73.4570665385"
"RISARALDA","GUATICA","66-318","5.31491484847","-75.7964483643"
"CHOCO","TADO","27-787","5.26542599352","-76.554776305"
"CALDAS","FILADELFIA","17-272","5.29735027786","-75.562282237"
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATE","25-843","5.30516427858","-73.819612402"
"CASANARE","AGUAZUL","85-010","5.16998543064","-72.5525853378"
"CUNDINAMARCA","LENGUAZAQUE","25-407","5.30602649574","-73.7114452271"
"BOYACA","TIBANA","15-804","5.31618446526","-73.3967445026"
"CASANARE","RECETOR","85-279",NA,NA
"CASANARE","CHAMEZA","85-015",NA,NA
"BOYACA","TURMEQUE","15-835","5.32384575013","-73.4885656969"
"BOYACA","ZETAQUIRA","15-897","5.28434656469","-73.1720299685"
"CALDAS","ARANZAZU","17-050","5.27130438493","-75.4907773111"
"CALDAS","MARULANDA","17-446","5.2835107602","-75.258325325"
"CUNDINAMARCA","VILLAGOMEZ","25-871",NA,NA
"CALDAS","MARQUETALIA","17-444","5.29865089582","-75.0478539726"
"CUNDINAMARCA","VILLAPINZON","25-873","5.21481263033","-73.5968135965"
"CALDAS","MANZANARES","17-433","5.25410160582","-75.1535019918"
"CUNDINAMARCA","EL PEÑON","25-258","5.24908341275","-74.2901625904"
"TOLIMA","MARIQUITA","73-443","5.20016963007","-74.8893354654"
"TOLIMA","HONDA","73-349","5.20098204315","-74.7417614867"
"CUNDINAMARCA","CUCUNUBA","25-224","5.25059033207","-73.766310612"
"CALDAS","ANSERMA","17-042","5.23807382965","-75.7839965823"
"TOLIMA","FRESNO","73-283","5.15358768839","-75.0361949825"
"BOYACA","SAN EDUARDO","15-660","5.22420661716","-73.0766026379"
"CALDAS","NEIRA","17-486","5.16641593633","-75.5197693228"
"CUNDINAMARCA","LA PEÑA","25-398",NA,NA
"CUNDINAMARCA","PACHO","25-513","5.1508200093","-74.1461795404"
"CUNDINAMARCA","SUTATAUSA","25-781","5.2473689617","-73.8530083914"
"RISARALDA","BELEN DE UMBRIA","66-088","5.20081910209","-75.8684957854"
"BOYACA","CHINAVITA","15-172","5.16741662868","-73.3686289379"
"BOYACA","BERBEO","15-090","5.2271520402","-73.1268643511"
"BOYACA","UMBITA","15-842","5.21775307518","-73.4574526682"
"CUNDINAMARCA","TAUSA","25-793","5.19568350829","-73.8875918059"
"CUNDINAMARCA","UTICA","25-851","5.19089695391","-74.4835295388"
"CHOCO","CONDOTO","27-205","5.09350793861","-76.6465174314"
"RISARALDA","APIA","66-045","5.1061188187","-75.941059973"
"CUNDINAMARCA","CHOCONTA","25-183","5.14485856952","-73.6832205258"
"CHOCO","ISTMINA","27-361","5.15335100326","-76.6860015418"
"CUNDINAMARCA","SUESCA","25-772","5.10343692597","-73.7983610513"
"BOYACA","MIRAFLORES","15-455","5.19594580009","-73.14486261"
"CUNDINAMARCA","NIMAIMA","25-489",NA,NA
"CUNDINAMARCA","VERGARA","25-862","5.11812063068","-74.3454678068"
"BOYACA","PAEZ","15-514","2.64531146532","-75.9719235642"
"CASANARE","OROCUE","85-230","4.79003391817","-71.3381053762"
"CALDAS","RISARALDA","17-616","5.15940031424","-75.7706314648"
"BOYACA","PACHAVITA","15-511",NA,NA
"BOYACA","GARAGOA","15-299","5.08228084885","-73.3647669702"
"TOLIMA","FALAN","73-270","5.11932413169","-74.955500479"
"CUNDINAMARCA","COGUA","25-200","5.06180883195","-73.9782582487"
"CALDAS","MANIZALES","17-001","5.05705056379","-75.4904150625"
"TOLIMA","HERVEO","73-347","5.07994522497","-75.1782250336"
"CASANARE","TAURAMENA","85-410","5.01312278938","-72.7477361123"
"CALDAS","SAN JOSE","17-665","5.08264286212","-75.7916509882"
"CUNDINAMARCA","ZIPAQUIRA","25-899","5.02348294157","-73.9924030664"
"CUNDINAMARCA","QUEBRADANEGRA","25-592",NA,NA
"TOLIMA","PALOCABILDO","73-520",NA,NA
"CUNDINAMARCA","NEMOCON","25-486","5.06759181007","-73.8788906876"
"BOYACA","LA CAPILLA","15-380","5.09555866963","-73.445010629"
"CALDAS","PALESTINA","17-524","1.72319912364","-76.1328690995"
"CALDAS","VITERBO","17-877","5.06286441938","-75.8707592879"
"CUNDINAMARCA","MACHETA","25-426","5.0799154903","-73.6065091545"
"TOLIMA","ARMERO","73-055","5.02900045806","-74.884169344"
"CUNDINAMARCA","TIBIRITA","25-807","5.05244592211","-73.5046538029"
"TOLIMA","CASABIANCA","73-152","5.07914791303","-75.1197910712"
"RISARALDA","SANTUARIO","66-687","5.07367695867","-75.9646784973"
"CUNDINAMARCA","SUPATA","25-777","5.06181223997","-74.2358358078"
"CUNDINAMARCA","NOCAIMA","25-491","5.06941560618","-74.3774736098"
"BOYACA","CAMPOHERMOSO","15-135","5.00775391152","-73.144860988"
"BOYACA","TENZA","15-798","5.0768315662","-73.4216511523"
"CUNDINAMARCA","VILLETA","25-875","5.00942832997","-74.4728933192"
"CHOCO","NOVITA","27-491","4.9560945273","-76.6070694539"
"CUNDINAMARCA","SESQUILE","25-736","5.0451953391","-73.7967351846"
"CUNDINAMARCA","SUBACHOQUE","25-769","4.92837400479","-74.1722359631"
"CALDAS","BELALCAZAR","17-088","4.99517768145","-75.8038072984"
"CALDAS","CHINCHINA","17-174","4.98551800459","-75.6063849663"
"CASANARE","MANI","85-139","4.81684480839","-72.2801607687"
"RISARALDA","LA CELIA","66-383","5.00337011185","-76.0031932924"
"CUNDINAMARCA","LA VEGA","25-402","2.00463839075","-76.7815037392"
"BOYACA","GUATEQUE","15-322","5.00708724993","-73.4722844817"
"RISARALDA","MARSELLA","66-440","4.93666531666","-75.7385271493"
"CALDAS","VILLAMARIA","17-873","4.95994125575","-75.5512346168"
"CUNDINAMARCA","MANTA","25-436","5.00919863012","-73.5404699987"
"TOLIMA","VILLAHERMOSA","73-870","5.03029544523","-75.117789876"
"BOYACA","MACANAL","15-425","4.97221733095","-73.319521182"
"BOYACA","SUTATENZA","15-778","5.02324263103","-73.4520467214"
"CUNDINAMARCA","GACHANCIPA","25-295","4.99105037518","-73.872917556"
"CUNDINAMARCA","SASAIMA","25-718","4.96211397458","-74.4329479077"
"CUNDINAMARCA","SAN FRANCISCO","25-658","1.17674026489","-76.875892028"
"CASANARE","MONTERREY","85-162","4.87941196756","-72.8890956447"
"CUNDINAMARCA","TOCANCIPA","25-817","4.96514274816","-73.9117458065"
"RISARALDA","BALBOA","66-075","2.04139355858","-77.2165412103"
"CUNDINAMARCA","CHAGUANI","25-168","4.94773060064","-74.592714462"
"BOYACA","SOMONDOCO","15-761","4.98580939218","-73.4333122291"
"CUNDINAMARCA","TABIO","25-785","4.9164173473","-74.0984754623"
"CHOCO","SAN JOSE DEL PALMAR","27-660","4.89467123826","-76.235669636"
"BOYACA","ALMEIDA","15-022",NA,NA
"CUNDINAMARCA","GUATAVITA","25-326","4.93396486437","-73.8333374514"
"VALLE DEL CAUCA","EL AGUILA","76-243","4.9098804712","-76.0413378052"
"BOYACA","GUAYATA","15-325","4.96682008754","-73.4901186533"
"CASANARE","SABANALARGA","85-300","10.6338334111","-74.9206251244"
"CUNDINAMARCA","CAJICA","25-126","4.92087291414","-74.0236365343"
"CUNDINAMARCA","SAN JUAN DE RIOSECO","25-662","4.84725315287","-74.621655905"
"RISARALDA","SANTA ROSA DE CABAL","66-682","4.87650859907","-75.6240743865"
"CUNDINAMARCA","VIANI","25-867","4.87524411005","-74.5614873454"
"CUNDINAMARCA","SOPO","25-758","4.90694243699","-73.9388852876"
"BOYACA","SAN LUIS DE GACENO","15-667","4.81870508097","-73.1688722705"
"TOLIMA","LIBANO","73-411","4.91611360304","-75.0532201721"
"TOLIMA","LERIDA","73-408","4.86105174121","-74.9116022877"
"CUNDINAMARCA","ALBAN","25-019","4.87608226929","-74.4366988598"
"CUNDINAMARCA","GACHETA","25-297","4.81632975702","-73.636486426"
"CUNDINAMARCA","GUAYABAL DE SIQUIMA","25-328","4.87794137161","-74.4673483566"
"BOYACA","SANTA MARIA","15-690","2.93871220405","-75.5867989746"
"TOLIMA","AMBALEMA","73-030","4.78538612936","-74.7617986138"
"RISARALDA","LA VIRGINIA","66-400","4.89834379545","-75.8796584309"
"CUNDINAMARCA","GUASCA","25-322","4.86754875217","-73.878069051"
"CUNDINAMARCA","EL ROSAL","25-260",NA,NA
"BOYACA","CHIVOR","15-236","4.88876763021","-73.3698003698"
"CUNDINAMARCA","CHIA","25-175","4.86580207151","-74.0496481882"
"TOLIMA","MURILLO","73-461","4.87540969341","-75.1703186573"
"RISARALDA","PEREIRA","66-001","4.80888773215","-75.7155099202"
"CUNDINAMARCA","TENJO","25-799","4.87171577268","-74.1434518171"
"CUNDINAMARCA","BITUIMA","25-095","4.87203567751","-74.5396970208"
"CUNDINAMARCA","FACATATIVA","25-269","4.81224201458","-74.3510146905"
"RISARALDA","DOSQUEBRADAS","66-170","4.83463403327","-75.675182816"
"CUNDINAMARCA","UBALA","25-839","4.74817719383","-73.5323067672"
"VALLE DEL CAUCA","ANSERMANUEVO","76-041","4.79322314547","-75.9916051896"
"META","PUERTO GAITAN","50-568","4.31202705989","-72.082954864"
"CUNDINAMARCA","MADRID","25-430","4.73284520314","-74.2667554524"
"VALLE DEL CAUCA","EL CAIRO","76-246","4.75849388321","-76.2234172512"
"CUNDINAMARCA","COTA","25-214","4.8087009681","-74.1029336394"
"CUNDINAMARCA","BELTRAN","25-086",NA,NA
"CUNDINAMARCA","ANOLAIMA","25-040","4.76166116785","-74.4637806503"
"BOGOTA D.C","BOGOTA D.C.","11-001","4.62457504964","-74.1139187163"
"CUNDINAMARCA","JUNIN","25-372","4.79029733471","-73.662973651"
"VALLE DEL CAUCA","CARTAGO","76-147","4.73852191576","-75.911513294"
"CHOCO","SIPI","27-745","4.65411491722","-76.6433845475"
"CUNDINAMARCA","LA CALERA","25-377","4.72014400857","-73.9701238854"
"VALLE DEL CAUCA","ARGELIA","76-054","2.32514027006","-77.2550909133"
"CUNDINAMARCA","ZIPACON","25-898","4.76009498133","-74.3794037269"
"TOLIMA","VENADILLO","73-861","4.71677806822","-74.9293838114"
"CUNDINAMARCA","QUIPILE","25-596","4.74473436","-74.5334510616"
"TOLIMA","SANTA ISABEL","73-686","1.19200057658","-76.9689800339"
"TOLIMA","SANTA ISABEL","73-686","4.71380797974","-75.0946715077"
"CUNDINAMARCA","FUNZA","25-286","4.70865653894","-74.2019793976"
"CUNDINAMARCA","GACHALA","25-293","4.69319201434","-73.5208054785"
"CUNDINAMARCA","GAMA","25-299","4.76258311838","-73.6107849968"
"CUNDINAMARCA","BOJACA","25-099","4.74148625686","-74.3475631168"
"CUNDINAMARCA","PULI","25-580",NA,NA
"CUNDINAMARCA","CACHIPAY","25-123","4.73092890716","-74.4359526602"
"VALLE DEL CAUCA","ULLOA","76-845",NA,NA
"CUNDINAMARCA","TENA","25-797","4.6552672945","-74.3896312414"
"CUNDINAMARCA","PARATEBUENO","25-530","4.37502628853","-73.2128638635"
"CUNDINAMARCA","MOSQUERA","25-473","4.71430462524","-74.2282684727"
"TOLIMA","ANZOATEGUI","73-043","4.63284669704","-75.0932838261"
"VALLE DEL CAUCA","VERSALLES","76-863","4.57582061586","-76.1995094028"
"QUINDIO","FILANDIA","63-272","4.67600719085","-75.656183215"
"CASANARE","VILLANUEVA","85-440","10.610184984","-72.9775939067"
"QUINDIO","SALENTO","63-690","4.63727979262","-75.5707958324"
"VALLE DEL CAUCA","TORO","76-823","4.60848895439","-76.0784077771"
"TOLIMA","ALVARADO","73-026","4.56816462109","-74.9521517538"
"CUNDINAMARCA","LA MESA","25-386","4.63537372117","-74.4542881209"
"VALLE DEL CAUCA","ALCALA","76-020","4.67394189929","-75.7756614608"
"CUNDINAMARCA","FOMEQUE","25-279","4.48489559982","-73.8927335149"
"META","BARRANCA DE UPIA","50-110","4.56906866688","-72.966582101"
"QUINDIO","CIRCASIA","63-190","4.61512679433","-75.6356141135"
"TOLIMA","IBAGUE","73-001","4.4396307255","-75.1963501468"
"CUNDINAMARCA","CHOACHI","25-181","4.52901585653","-73.9229671902"
"CUNDINAMARCA","SAN ANTONIO DEL TEQUENDAMA","25-645","4.61607411706","-74.3518163072"
"CUNDINAMARCA","JERUSALEN","25-368","4.56243784729","-74.6946601122"
"CUNDINAMARCA","MEDINA","25-438","4.50865387796","-73.3505279079"
"QUINDIO","QUIMBAYA","63-594","4.62330250711","-75.7629666878"
"CUNDINAMARCA","SOACHA","25-754","4.58639001648","-74.1949015405"
"CUNDINAMARCA","ANAPOIMA","25-035","4.56299758972","-74.5306692069"
"TOLIMA","PIEDRAS","73-547","4.54450576723","-74.8765096607"
"CUNDINAMARCA","APULO","25-599","4.52796012335","-74.5892974772"
"VALLE DEL CAUCA","OBANDO","76-497","4.57493085648","-75.9747307562"
"CUNDINAMARCA","EL COLEGIO","25-245","4.57826466852","-74.442739512"
"CUNDINAMARCA","TOCAIMA","25-815","4.46092251893","-74.6359025106"
"CUNDINAMARCA","GUATAQUI","25-324",NA,NA
"TOLIMA","CAJAMARCA","73-124","4.43777027275","-75.4337958576"
"VALLE DEL CAUCA","LA UNION","76-400","1.59247717673","-77.128385668"
