"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","n","Competencias Ciudadanas","Comunicación Escrita","Análisis De Problemáticas Psicológicas","Lectura Crítica","Razonamiento Cuantitativo","Formulación De Proyectos De Ingeniería","Pensamiento Científico - Ciencias Biológicas","Pensamiento Científico - Ciencias Físicas","Formar","Diseño De Procesos Industriales","Estudio Proyectual","Atención En Salud","Pensamiento Científico - Matemáticas Y Estadística","Investigación En Ciencias Sociales","Pensamiento Científico - Química","Gestión Financiera","Inglés","Pensamiento Científico - Ciencias De La Tierra","Gestión De Organizaciones","Proyecto De Arquitectura","Investigación Jurídica","Diseño De Obras De Infraestructura","Diseño De Sistemas De Manejo Del Impacto Ambiental","Enseñar","Diseño De Software","Diagnóstico Y Tratamiento En Salud Oral","Formulación, Evaluación Y Gestión De Proyectos","Promoción De La Salud Y Prevención De La Enfermedad","Diseño De Sistemas Mecánicos","Fundamentación En Diagnóstico Y Tratamiento Médicos","Diseño De Sistemas, Procesos Y Productos Agroindustriales","Generación De Artefactos","Análisis Económico","Producción Pecuaria","Intervención En Procesos Sociales","Información Y Control Contable","Producción Agrícola","Diseño De Sistemas De Control","Cuidado De Enfermería En Los Ámbitos Clínico Y Comunitario","Evaluar","Salud Y Bienestar Animal","Diseño De Sistemas Productivos Y Logísticos","Comunicación Jurídica","Gestión Del Conflicto"
"SABER PRO - 2019",56,"Bogotá",4304,"Estadistica","Ciencias Naturales Y Exactas","Ciencias",474,168,155,NA,181,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",62,"Bogotá",6948,"Sociologia","Ciencias Sociales","Ciencias Humanas",677,195,163,NA,200,182,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",45,"Bogotá",1920,"Musica Instrumental","Bellas Artes Y Diseño","Artes",406,144,146,NA,162,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",50,"Manizales",2214,"Ingenieria Industrial","Ingeniería","Ingeniería Y Arquitectura",861,163,151,NA,182,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",33,"Palmira",6535,"Diseño Industrial","Bellas Artes Y Diseño","Ingeniería Y Administración",381,161,138,NA,167,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",46,"Bogotá",1054,"Filosofia","Humanidades","Ciencias Humanas",455,192,171,NA,202,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",32,"Medellín",2766,"Ingenieria Forestal","Ingeniería","Ciencias Agrarias",413,158,148,NA,165,183,166,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",127,"Bogotá",905,"Ingenieria Civil","Ingeniería","Ingeniería",1530,181,154,NA,188,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",69,"Bogotá",2645,"Nutricion Y Dietetica","Salud","Medicina",611,171,159,NA,177,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",34,"Medellín",1053,"Ingenieria De Control","Ingeniería","Minas",328,150,158,NA,170,205,152,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",61,"Bogotá",3084,"Geologia","Ciencias Naturales Y Exactas","Ciencias",608,180,158,NA,190,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",190,"Bogotá",5658,"Medicina","Medicina","Medicina",2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",120,"Bogotá",1469,"Farmacia","Salud","Ciencias",1062,182,155,NA,188,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",61,"Manizales",1768,"Ingenieria Electronica","Ingeniería","Ingeniería Y Arquitectura",629,NA,NA,NA,NA,NA,147,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",91,"Medellín",3179,"Ingenieria Administrativa","Administración Y Afines","Minas",1065,178,158,NA,186,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",70,"Bogotá",3139,"Ingenieria Agronomica","Ciencias Agropecuarias","Ciencias Agrarias",808,169,154,NA,176,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",17,"Medellín",6510,"Ingenieria Agronomica","Ciencias Agropecuarias","Ciencias Agrarias",320,164,136,NA,167,179,168,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",61,"Medellín",4644,"Ingenieria Electrica","Ingeniería","Minas",388,172,149,NA,170,204,179,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",28,"Bogotá",3665,"Fisioterapia","Salud","Medicina",284,171,171,NA,178,182,NA,NA,NA,NA,NA,NA,193,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",81,"Medellín",4643,"Arquitectura","Arquitectura Y Urbanismo","Arquitectura",988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",44,"Bogotá",6444,"Matematicas","Ciencias Naturales Y Exactas","Ciencias",376,178,146,NA,183,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",191,"Bogotá",5658,"Medicina","Medicina","Medicina",2350,185,163,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",68,"Bogotá",467,"Contaduria Publica","Contaduría Y Afines","Ciencias Económicas",1039,186,159,NA,188,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",124,"Bogotá",905,"Ingenieria Civil","Ingeniería","Ingeniería",1530,NA,NA,NA,NA,NA,175,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",116,"Bogotá",185,"Ciencia Politica","Ciencias Sociales","Derecho, Ciencias Políticas Y Sociales",1026,192,NA,NA,192,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",67,"Bogotá",2645,"Nutricion Y Dietetica","Salud","Medicina",611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",26,"Medellín",4303,"Artes Plasticas","Bellas Artes Y Diseño","Arquitectura",249,153,142,NA,166,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",43,"Bogotá",6444,"Matematicas","Ciencias Naturales Y Exactas","Ciencias",376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",88,"Bogotá",3788,"Antropologia","Ciencias Sociales","Ciencias Humanas",763,188,NA,NA,197,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",44,"Bogotá",4168,"Zootecnia","Ciencias Agropecuarias","Medicina Veterinaria Y De Zootecnia",613,169,151,NA,180,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",86,"Bogotá",93,"Quimica","Ciencias Naturales Y Exactas","Ciencias",512,169,161,NA,183,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",66,"Bogotá",2208,"Odontologia","Salud","Odontología",850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",35,"Medellín",5602,"Ingenieria De Petroleos","Ingeniería","Minas",746,181,169,NA,187,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",63,"Manizales",1768,"Ingenieria Electronica","Ingeniería","Ingeniería Y Arquitectura",629,155,NA,NA,165,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",85,"Bogotá",3788,"Antropologia","Ciencias Sociales","Ciencias Humanas",763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",28,"Palmira",91,"Zootecnia","Ciencias Agropecuarias","Ciencias Agropecuarias",408,149,133,NA,150,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",70,"Bogotá",5100,"Enfermeria","Enfermería","Enfermería",1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA
"SABER PRO - 2019",20,"Medellín",6355,"Zootecnia","Ciencias Agropecuarias","Ciencias Agrarias",397,160,135,NA,155,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",33,"Medellín",5602,"Ingenieria De Petroleos","Ingeniería","Minas",746,NA,NA,NA,NA,NA,181,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",57,"Medellín",5517,"Ingenieria De Sistemas E Informatica","Ingeniería","Minas",517,172,147,NA,181,202,165,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",61,"Palmira",4789,"Ingenieria Agronomica","Ciencias Agropecuarias","Ciencias Agropecuarias",716,NA,NA,NA,NA,NA,150,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",61,"Medellín",118,"Ingenieria Quimica","Ingeniería","Minas",705,177,156,NA,186,203,172,NA,NA,NA,159,NA,NA,NA,NA,167,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",42,"Medellín",1917,"Historia","Humanidades","Ciencias Humanas Y Económicas",370,179,153,NA,193,157,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",23,"Medellín",183,"Estadistica","Ciencias Naturales Y Exactas","Ciencias",202,167,140,NA,173,188,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",55,"Bogotá",6945,"Diseño Grafico","Bellas Artes Y Diseño","Artes",459,176,150,NA,190,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",52,"Bogotá",1919,"Ingenieria Mecatronica","Ingeniería","Ingeniería",496,NA,NA,NA,NA,NA,175,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",86,"Bogotá",1875,"Filologia E Idiomas","Humanidades","Ciencias Humanas",842,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",114,"Bogotá",185,"Ciencia Politica","Ciencias Sociales","Derecho, Ciencias Políticas Y Sociales",1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",68,"Medellín",5064,"Ingenieria Industrial","Ingeniería","Minas",946,169,155,NA,177,199,173,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA
"SABER PRO - 2019",89,"Bogotá",1383,"Biologia","Ciencias Naturales Y Exactas","Ciencias",828,189,NA,NA,196,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",55,"Bogotá",4304,"Estadistica","Ciencias Naturales Y Exactas","Ciencias",474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",62,"Palmira",1812,"Ingenieria Ambiental","Ingeniería","Ingeniería Y Administración",658,NA,NA,NA,NA,NA,154,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",78,"Medellín",5063,"Ingenieria Geologica","Ciencias Naturales Y Exactas","Minas",411,170,150,NA,176,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",60,"Bogotá",3084,"Geologia","Ciencias Naturales Y Exactas","Ciencias",608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",20,"Manizales",3181,"Gestion Cultural Y Comunicativa","Ciencias Sociales","Administración",187,164,137,NA,173,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",62,"Palmira",969,"Ingenieria Agroindustrial","Ingeniería","Ingeniería Y Administración",551,NA,NA,NA,NA,NA,147,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",63,"Palmira",969,"Ingenieria Agroindustrial","Ingeniería","Ingeniería Y Administración",551,151,141,NA,164,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",82,"Bogotá",3667,"Ingenieria Mecanica","Ingeniería","Ingeniería",900,NA,NA,NA,NA,NA,170,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",158,"Bogotá",4280,"Ingenieria Quimica","Ingeniería","Ingeniería",1461,184,NA,NA,188,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",82,"Bogotá",3789,"Diseño Industrial","Bellas Artes Y Diseño","Artes",690,179,153,NA,180,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",32,"Palmira",6535,"Diseño Industrial","Bellas Artes Y Diseño","Ingeniería Y Administración",381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",30,"Medellín",29,"Economia","Economía","Ciencias Humanas Y Económicas",319,190,147,NA,186,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",57,"Bogotá",1919,"Ingenieria Mecatronica","Ingeniería","Ingeniería",496,185,152,NA,191,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",61,"Bogotá",3668,"Trabajo Social","Ciencias Sociales","Ciencias Humanas",567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",68,"Bogotá",3139,"Ingenieria Agronomica","Ciencias Agropecuarias","Ciencias Agrarias",808,NA,NA,NA,NA,NA,164,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",105,"Bogotá",55,"Psicologia","Psicología","Ciencias Humanas",1134,190,157,NA,196,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",64,"Manizales",5627,"Ingenieria Quimica","Ingeniería","Ingeniería Y Arquitectura",507,NA,NA,NA,NA,NA,162,NA,NA,NA,154,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",116,"Bogotá",1469,"Farmacia","Salud","Ciencias",1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",83,"Bogotá",3667,"Ingenieria Mecanica","Ingeniería","Ingeniería",900,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",112,"Bogotá",5552,"Economia","Economía","Ciencias Económicas",1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",55,"Palmira",968,"Administracion De Empresas","Administración Y Afines","Ingeniería Y Administración",468,159,144,NA,165,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",72,"Bogotá",5100,"Enfermeria","Enfermería","Enfermería",1270,174,157,NA,183,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
