"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","Competencias ciudadanas","Comunicación escrita","Lectura crítica","Razonamiento cuantitativo","Inglés"
"SABER PRO - 2019",62,"Palmira",4789,"Ingenieria agronomica","Ciencias agropecuarias","Ciencias agropecuarias",150,146,157,158,156
"SABER PRO - 2019",38,"Palmira",3728,"Ingenieria agricola","Ingeniería","Ingeniería y administración",134,134,151,158,152
"SABER PRO - 2019",33,"Palmira",6535,"Diseño industrial","Bellas artes y diseño","Ingeniería y administración",161,138,167,159,165
"SABER PRO - 2019",28,"Palmira",91,"Zootecnia","Ciencias agropecuarias","Ciencias agropecuarias",149,133,150,143,149
"SABER PRO - 2019",63,"Palmira",969,"Ingenieria agroindustrial","Ingeniería","Ingeniería y administración",151,141,164,174,164
"SABER PRO - 2019",55,"Palmira",968,"Administracion de empresas","Administración y afines","Ingeniería y administración",159,144,165,162,158
"SABER PRO - 2019",63,"Palmira",1812,"Ingenieria ambiental","Ingeniería","Ingeniería y administración",161,144,168,175,163
