"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","Competencias ciudadanas","Comunicación escrita","Lectura crítica","Razonamiento cuantitativo","Inglés"
"SABER PRO - 2019",68,"Bogotá",467,"Contaduria publica","Contaduría y afines","Ciencias económicas",186,159,188,191,190
"SABER PRO - 2019",116,"Bogotá",185,"Ciencia politica","Ciencias sociales","Derecho, ciencias políticas y sociales",192,0,192,168,182
"SABER PRO - 2019",88,"Bogotá",3788,"Antropologia","Ciencias sociales","Ciencias humanas",188,0,197,178,196
"SABER PRO - 2019",42,"Bogotá",15721,"Español y filologia clasica","Bellas artes y diseño","Ciencias humanas",185,164,203,164,196
"SABER PRO - 2019",44,"Bogotá",4168,"Zootecnia","Ciencias agropecuarias","Medicina veterinaria y de zootecnia",169,151,180,178,176
"SABER PRO - 2019",86,"Bogotá",93,"Quimica","Ciencias naturales y exactas","Ciencias",169,161,183,201,192
"SABER PRO - 2019",55,"Bogotá",6945,"Diseño grafico","Bellas artes y diseño","Artes",176,150,190,175,200
"SABER PRO - 2019",86,"Bogotá",1875,"Filologia e idiomas","Humanidades","Ciencias humanas",0,161,0,0,0
"SABER PRO - 2019",89,"Bogotá",1383,"Biologia","Ciencias naturales y exactas","Ciencias",189,0,196,192,201
"SABER PRO - 2019",158,"Bogotá",4280,"Ingenieria quimica","Ingeniería","Ingeniería",184,0,188,208,199
"SABER PRO - 2019",82,"Bogotá",3789,"Diseño industrial","Bellas artes y diseño","Artes",179,153,180,184,195
"SABER PRO - 2019",57,"Bogotá",1919,"Ingenieria mecatronica","Ingeniería","Ingeniería",185,152,191,217,208
"SABER PRO - 2019",105,"Bogotá",55,"Psicologia","Psicología","Ciencias humanas",190,157,196,180,200
"SABER PRO - 2019",83,"Bogotá",3667,"Ingenieria mecanica","Ingeniería","Ingeniería",0,155,0,0,0
"SABER PRO - 2019",72,"Bogotá",5100,"Enfermeria","Enfermería","Enfermería",174,157,183,182,174
"SABER PRO - 2019",88,"Bogotá",1383,"Biologia","Ciencias naturales y exactas","Ciencias",0,164,0,0,0
"SABER PRO - 2019",47,"Bogotá",189,"Literatura (estudios literarios)","Humanidades","Ciencias humanas",193,170,193,173,202
"SABER PRO - 2019",7,"Bogotá",2795,"Musica","Bellas artes y diseño","Artes",170,129,172,181,199
"SABER PRO - 2019",42,"Bogotá",6095,"Linguistica","Humanidades","Ciencias humanas",184,172,193,167,189
"SABER PRO - 2019",115,"Bogotá",185,"Ciencia politica","Ciencias sociales","Derecho, ciencias políticas y sociales",0,167,0,0,0
"SABER PRO - 2019",157,"Bogotá",4280,"Ingenieria quimica","Ingeniería","Ingeniería",0,161,0,0,0
